benchmark;Promoted;Demoted;Writes DRAM;Writes PCM;Total writes;Reads on DRAM;Reads on PCM;Total reads;Pages on memory;BUFFER SIZE;TIME TO MIGRATE;COUNTERS SIZE;PROMOTE VALUE;DEMOTE VALUE
Basicmath2020-01-191653;6806;11416;600826;8211790;8812616;599710;8214153;8813863;1606;32;2048;16;8.000000;6.000000
Basicmath2020-01-191653;0;4677;161289;8651327;8812616;161697;8652166;8813863;1606;32;2048;16;9.000000;6.000000
Basicmath2020-01-191653;17287;19015;4013049;4799567;8812616;4014189;4799674;8813863;1606;32;8192;16;4.000000;6.000000
Basicmath2020-01-191653;8679;10479;2114777;6697839;8812616;2115570;6698293;8813863;1606;32;8192;16;5.000000;6.000000
Basicmath2020-01-191653;3865;5720;1054328;7758288;8812616;1054935;7758928;8813863;1606;32;8192;16;6.000000;6.000000
Basicmath2020-01-191653;1991;3866;636530;8176086;8812616;637316;8176547;8813863;1606;32;8192;16;7.000000;6.000000
Basicmath2020-01-191653;1963;3838;631111;8181505;8812616;631897;8181966;8813863;1606;32;8192;16;8.000000;6.000000
Basicmath2020-01-191653;0;1909;221870;8590746;8812616;222869;8590994;8813863;1606;32;8192;16;9.000000;6.000000
Basicmath2020-01-191653;4059;4932;3851166;4961450;8812616;3852117;4961746;8813863;1606;32;32768;16;4.000000;6.000000
Basicmath2020-01-191653;2129;3028;2254877;6557739;8812616;2255564;6558299;8813863;1606;32;32768;16;5.000000;6.000000
Basicmath2020-01-191653;946;1872;1156570;7656046;8812616;1157422;7656441;8813863;1606;32;32768;16;6.000000;6.000000
Basicmath2020-01-191653;476;1417;754206;8058410;8812616;755212;8058651;8813863;1606;32;32768;16;7.000000;6.000000
Basicmath2020-01-191653;466;1408;747655;8064961;8812616;748660;8065203;8813863;1606;32;32768;16;8.000000;6.000000
Basicmath2020-01-191653;0;957;365866;8446750;8812616;367034;8446829;8813863;1606;32;32768;16;9.000000;6.000000
Basicmath2020-01-191653;67143;71513;4013267;4799349;8812616;4010417;4803446;8813863;1606;32;2048;32;4.000000;6.000000
Basicmath2020-01-191653;31769;36256;2056123;6756493;8812616;2048152;6765711;8813863;1606;32;2048;32;5.000000;6.000000
Basicmath2020-01-191653;15162;19726;1040816;7771800;8812616;1037046;7776817;8813863;1606;32;2048;32;6.000000;6.000000
Basicmath2020-01-191653;8449;13074;641165;8171451;8812616;639840;8174023;8813863;1606;32;2048;32;7.000000;6.000000
Basicmath2020-01-191653;7417;12055;576744;8235872;8812616;575662;8238201;8813863;1606;32;2048;32;8.000000;6.000000
Basicmath2020-01-191653;0;4690;155012;8657604;8812616;155425;8658438;8813863;1606;32;2048;32;9.000000;6.000000
Basicmath2020-01-191653;16785;18463;3898264;4914352;8812616;3899409;4914454;8813863;1606;32;8192;32;4.000000;6.000000
Basicmath2020-01-191653;8210;9995;1978876;6833740;8812616;1979233;6834630;8813863;1606;32;8192;32;5.000000;6.000000
Basicmath2020-01-191653;3971;5811;1074436;7738180;8812616;1075012;7738851;8813863;1606;32;8192;32;6.000000;6.000000
Basicmath2020-01-191653;2209;4073;681942;8130674;8812616;682701;8131162;8813863;1606;32;8192;32;7.000000;6.000000
Basicmath2020-01-191653;1874;3744;611086;8201530;8812616;611867;8201996;8813863;1606;32;8192;32;8.000000;6.000000
Basicmath2020-01-191653;0;1898;215690;8596926;8812616;216696;8597167;8813863;1606;32;8192;32;9.000000;6.000000
Basicmath2020-01-191653;4218;5056;3967382;4845234;8812616;3968313;4845550;8813863;1606;32;32768;32;4.000000;6.000000
Basicmath2020-01-191653;2064;2959;2144812;6667804;8812616;2145438;6668425;8813863;1606;32;32768;32;5.000000;6.000000
Basicmath2020-01-191653;980;1913;1183867;7628749;8812616;1184703;7629160;8813863;1606;32;32768;32;6.000000;6.000000
Basicmath2020-01-191653;517;1458;791917;8020699;8812616;792909;8020954;8813863;1606;32;32768;32;7.000000;6.000000
Basicmath2020-01-191653;449;1391;737888;8074728;8812616;738901;8074962;8813863;1606;32;32768;32;8.000000;6.000000
Basicmath2020-01-191653;0;962;369535;8443081;8812616;370703;8443160;8813863;1606;32;32768;32;9.000000;6.000000
Basicmath2020-01-191653;65257;69666;3891863;4920753;8812616;3888443;4925420;8813863;1606;32;2048;64;4.000000;6.000000
Basicmath2020-01-191653;31383;35881;2025013;6787603;8812616;2017661;6796202;8813863;1606;32;2048;64;5.000000;6.000000
Basicmath2020-01-191653;14686;19242;1040045;7772571;8812616;1036258;7777605;8813863;1606;32;2048;64;6.000000;6.000000
Basicmath2020-01-191653;7715;12317;626205;8186411;8812616;624890;8188973;8813863;1606;32;2048;64;7.000000;6.000000
Basicmath2020-01-191653;7033;11681;572148;8240468;8812616;570972;8242891;8813863;1606;32;2048;64;8.000000;6.000000
Basicmath2020-01-191653;0;4726;143695;8668921;8812616;144116;8669747;8813863;1606;32;2048;64;9.000000;6.000000
Basicmath2020-01-191653;17180;18907;3997996;4814620;8812616;3999036;4814827;8813863;1606;32;8192;64;4.000000;6.000000
Basicmath2020-01-191653;8576;10377;2057853;6754763;8812616;2058139;6755724;8813863;1606;32;8192;64;5.000000;6.000000
Basicmath2020-01-191653;4007;5864;1073196;7739420;8812616;1073761;7740102;8813863;1606;32;8192;64;6.000000;6.000000
Basicmath2020-01-191653;2102;3986;668103;8144513;8812616;668858;8145005;8813863;1606;32;8192;64;7.000000;6.000000
Basicmath2020-01-191653;1905;3797;622826;8189790;8812616;623606;8190257;8813863;1606;32;8192;64;8.000000;6.000000
Basicmath2020-01-191653;0;1920;211057;8601559;8812616;212061;8601802;8813863;1606;32;8192;64;9.000000;6.000000
Basicmath2020-01-191653;4048;4890;3878385;4934231;8812616;3879367;4934496;8813863;1606;32;32768;64;4.000000;6.000000
Basicmath2020-01-191653;2091;2984;2220898;6591718;8812616;2221493;6592370;8813863;1606;32;32768;64;5.000000;6.000000
Basicmath2020-01-191653;994;1910;1202515;7610101;8812616;1203344;7610519;8813863;1606;32;32768;64;6.000000;6.000000
Basicmath2020-01-191653;534;1469;806529;8006087;8812616;807499;8006364;8813863;1606;32;32768;64;7.000000;6.000000
Basicmath2020-01-191653;493;1430;768862;8043754;8812616;769842;8044021;8813863;1606;32;32768;64;8.000000;6.000000
Basicmath2020-01-191653;0;956;373759;8438857;8812616;374925;8438938;8813863;1606;32;32768;64;9.000000;6.000000
Basicmath2020-01-191653;66900;67997;3343240;5469376;8812616;3348540;5465323;8813863;1606;64;2048;4;4.000000;6.000000
